Date,Open,High,Low,Close,Volume,Adj Close
2016-05-31,12.66,12.91,12.26,12.72,49518400,12.72
2016-05-27,11.97,12.43,11.83,12.31,29829800,12.31
2016-05-26,11.71,12.03,11.69,11.95,23587100,11.95
2016-05-25,11.59,11.78,11.42,11.60,29175600,11.60
2016-05-24,11.31,11.50,11.16,11.49,25158500,11.49
2016-05-23,10.84,11.17,10.82,11.14,28326500,11.14
2016-05-20,10.31,10.81,10.28,10.80,31173700,10.80
2016-05-19,10.00,10.26,9.91,10.07,18807400,10.07
2016-05-18,9.68,10.28,9.68,10.05,26916900,10.05
2016-05-17,9.65,9.92,9.49,9.67,22090900,9.67
2016-05-16,9.61,9.69,9.51,9.68,16217800,9.68
2016-05-13,9.66,9.79,9.41,9.56,21483100,9.56
2016-05-12,10.15,10.26,9.35,9.63,40998800,9.63
2016-05-11,10.02,10.33,10.01,10.10,17747000,10.10
2016-05-10,9.94,10.11,9.84,10.09,19554600,10.09
2016-05-09,10.00,10.07,9.76,9.87,20453800,9.87
2016-05-06,9.98,10.21,9.85,9.99,20924500,9.99
2016-05-05,10.06,10.40,10.01,10.06,26430200,10.06
2016-05-04,10.25,10.49,9.80,10.00,40798100,10.00
2016-05-03,10.49,10.62,10.25,10.36,27317000,10.36
2016-05-02,10.80,10.86,10.43,10.62,23706100,10.62
2016-04-29,11.63,11.69,10.65,10.75,40087400,10.75
2016-04-28,11.53,12.41,11.52,11.62,41155500,11.62
2016-04-27,11.34,11.61,11.20,11.56,24314100,11.56
2016-04-26,10.82,11.65,10.71,11.51,47026100,11.51
2016-04-25,10.67,10.88,10.48,10.55,22480400,10.55
2016-04-22,10.66,10.81,10.50,10.66,18694600,10.66
2016-04-21,10.80,10.89,10.60,10.65,15596100,10.65
2016-04-20,10.63,10.77,10.50,10.75,19260200,10.75
2016-04-19,11.08,11.08,10.60,10.72,20952300,10.72
2016-04-18,10.63,11.10,10.56,10.89,26355200,10.89
2016-04-15,10.73,10.78,10.46,10.69,25295600,10.69
2016-04-14,10.79,10.79,10.39,10.40,17765400,10.40
2016-04-13,10.30,10.90,10.20,10.88,26081500,10.88
2016-04-12,10.51,10.54,10.05,10.17,25651400,10.17
2016-04-11,10.75,10.92,10.44,10.45,18235600,10.45
2016-04-08,10.64,10.89,10.57,10.72,18934600,10.72
2016-04-07,10.42,10.65,10.39,10.51,19318700,10.51
2016-04-06,10.42,10.48,10.25,10.47,18382000,10.47
2016-04-05,10.63,10.72,10.38,10.40,20753700,10.40
2016-04-04,11.06,11.22,10.78,10.80,22470500,10.80
2016-04-01,10.28,11.07,10.24,11.03,28435900,11.03
2016-03-31,10.31,10.49,10.01,10.47,48091700,10.47
2016-03-30,10.51,10.95,10.40,10.48,34271100,10.48
2016-03-29,10.18,10.53,10.10,10.45,30864600,10.45
2016-03-28,10.50,10.59,10.25,10.38,22750600,10.38
2016-03-24,10.50,10.60,10.33,10.50,22766800,10.50
2016-03-23,11.43,11.46,10.63,10.65,29356600,10.65
2016-03-22,11.45,11.60,11.33,11.44,13444900,11.44
2016-03-21,11.14,11.60,11.08,11.53,18064600,11.53
2016-03-18,10.84,11.17,10.75,11.14,44781200,11.14
2016-03-17,10.72,11.00,10.60,10.87,19907200,10.87
2016-03-16,10.71,10.89,10.55,10.72,20420600,10.72
2016-03-15,11.15,11.15,10.72,10.85,15151100,10.85
2016-03-14,11.34,11.34,11.01,11.15,13520800,11.15
2016-03-11,10.99,11.40,10.85,11.39,17244200,11.39
2016-03-10,10.95,11.06,10.66,10.88,17739000,10.88
2016-03-09,10.76,10.91,10.53,10.81,15095700,10.81
2016-03-08,11.44,11.45,10.65,10.66,29521700,10.66
2016-03-07,11.46,11.78,11.05,11.58,27748800,11.58
2016-03-04,11.80,12.29,11.60,11.88,35199500,11.88
2016-03-03,11.73,11.85,11.60,11.79,16183300,11.79
2016-03-02,11.01,11.69,10.97,11.68,18175600,11.68
2016-03-01,10.77,11.10,10.59,11.07,15610500,11.07
2016-02-29,10.65,10.89,10.52,10.63,20658000,10.63
2016-02-26,10.79,11.00,10.57,10.70,16412600,10.70
2016-02-25,10.67,10.74,10.21,10.72,16108800,10.72
2016-02-24,10.25,10.67,10.06,10.64,18526700,10.64
2016-02-23,11.00,11.08,10.39,10.49,22544300,10.49
2016-02-22,11.37,11.44,10.90,11.05,19944600,11.05
2016-02-19,11.39,11.39,10.95,11.16,17892700,11.16
2016-02-18,11.57,11.75,11.32,11.49,21516100,11.49
2016-02-17,10.97,11.65,10.92,11.43,34275200,11.43
2016-02-16,10.36,10.87,10.31,10.81,27375400,10.81
2016-02-12,9.88,10.24,9.48,10.02,23805100,10.02
2016-02-11,9.72,9.95,9.45,9.69,27048500,9.69
2016-02-10,10.08,10.28,9.82,9.90,22017200,9.90
2016-02-09,10.01,10.34,9.75,9.98,30105600,9.98
2016-02-08,10.71,10.76,9.94,10.17,27337000,10.17
2016-02-05,11.15,11.38,10.76,11.00,22470600,11.00
2016-02-04,10.71,11.55,10.70,11.23,26122800,11.23
2016-02-03,10.67,10.86,10.18,10.76,18058600,10.76
2016-02-02,10.80,11.07,10.48,10.59,21970000,10.59
2016-02-01,11.00,11.10,10.51,10.96,25768800,10.96
2016-01-29,9.99,11.05,9.94,11.03,38349100,11.03
2016-01-28,10.48,10.55,9.71,9.89,37327600,9.89
2016-01-27,10.50,10.83,10.32,10.39,22926200,10.39
2016-01-26,10.55,10.72,10.36,10.55,26177000,10.55
2016-01-25,11.06,11.17,10.47,10.48,23807500,10.48
2016-01-22,11.18,11.57,10.88,11.07,35088700,11.07
2016-01-21,10.45,10.90,10.13,10.85,52245600,10.85
2016-01-20,10.38,10.39,9.31,10.05,65025100,10.05
2016-01-19,11.28,11.37,10.71,10.80,37146200,10.80
2016-01-15,11.35,11.66,10.91,11.08,37037200,11.08
2016-01-14,12.08,12.26,11.53,12.02,35725400,12.02
2016-01-13,12.78,12.97,11.91,12.06,34426600,12.06
2016-01-12,12.72,13.24,12.40,12.72,25635000,12.72
2016-01-11,13.37,13.46,12.21,12.53,43141800,12.53
2016-01-08,13.78,13.95,13.29,13.33,26795100,13.33
2016-01-07,13.86,14.27,13.63,13.66,25922700,13.66
2016-01-06,14.50,14.69,14.11,14.22,26739600,14.22
2016-01-05,14.42,15.08,14.36,14.82,29768400,14.82
2016-01-04,13.83,14.36,13.81,14.33,22585300,14.33
2015-12-31,14.10,14.29,14.03,14.16,13211200,14.16
2015-12-30,14.27,14.44,14.10,14.16,10895100,14.16
2015-12-29,14.35,14.51,14.23,14.34,16093900,14.34
2015-12-28,14.45,14.51,14.05,14.19,17635000,14.19
2015-12-24,14.20,14.59,14.19,14.48,14284200,14.48
2015-12-23,13.72,14.30,13.55,14.30,59094200,14.30
2015-12-22,14.80,14.95,14.52,14.61,24987300,14.61
2015-12-21,14.44,14.79,14.33,14.77,22117000,14.77
2015-12-18,14.38,14.73,14.26,14.36,38218800,14.36
2015-12-17,14.65,14.77,14.25,14.32,28927700,14.32
2015-12-16,14.36,14.45,13.78,14.07,21511900,14.07
2015-12-15,13.77,14.37,13.74,14.18,26395400,14.18
2015-12-14,14.43,14.48,13.51,13.66,35155800,13.66
2015-12-11,14.32,14.44,13.99,14.04,23601500,14.04
2015-12-10,14.29,14.80,14.26,14.66,14788700,14.66
2015-12-09,14.60,14.67,14.24,14.32,20781700,14.32
2015-12-08,14.61,14.70,14.42,14.60,18169900,14.60
2015-12-07,15.35,15.47,14.71,14.85,23542300,14.85
2015-12-04,15.54,15.93,15.40,15.50,18867300,15.50
2015-12-03,15.95,16.200001,15.50,15.61,15164000,15.61
2015-12-02,16.49,16.59,15.72,15.82,16106800,15.82
2015-12-01,16.18,16.629999,16.120001,16.549999,20103700,16.549999
2015-11-30,15.59,16.01,15.50,15.93,13235300,15.93
2015-11-27,15.55,15.64,15.47,15.56,5018500,15.56
2015-11-25,15.40,15.78,15.35,15.58,10003300,15.58
2015-11-24,15.22,15.66,15.15,15.63,12222500,15.63
2015-11-23,15.54,15.67,15.07,15.32,14049000,15.32
2015-11-20,16.00,16.10,15.34,15.43,24068900,15.43
2015-11-19,15.71,16.280001,15.71,15.87,18278900,15.87
2015-11-18,15.39,15.69,15.30,15.61,20071300,15.61
2015-11-17,15.03,15.73,14.94,15.28,25249600,15.28
2015-11-16,14.95,15.20,14.65,14.89,23731800,14.89
2015-11-13,15.30,15.38,14.86,15.00,21071200,15.00
2015-11-12,15.28,15.75,15.28,15.35,14296800,15.35
2015-11-11,15.64,15.79,15.47,15.50,16199800,15.50
2015-11-10,15.74,15.85,15.42,15.55,24591700,15.55
2015-11-09,16.360001,16.450001,15.80,15.84,23643000,15.84
2015-11-06,16.440001,16.77,16.10,16.450001,18047800,16.450001
2015-11-05,17.52,17.719999,16.360001,16.51,26767000,16.51
2015-11-04,18.049999,18.049999,17.10,17.440001,19246900,17.440001
2015-11-03,17.10,17.99,17.09,17.84,22131500,17.84
2015-11-02,16.959999,17.290001,16.799999,17.09,18767100,17.09
2015-10-30,16.379999,16.620001,16.200001,16.559999,19248400,16.559999
2015-10-29,16.690001,16.74,16.190001,16.209999,17073800,16.209999
2015-10-28,16.799999,17.110001,16.58,16.92,15151700,16.92
2015-10-27,16.52,16.799999,16.52,16.68,14697600,16.68
2015-10-26,17.16,17.25,16.50,16.58,14901400,16.58
2015-10-23,16.90,17.32,16.809999,17.24,22439400,17.24
2015-10-22,16.40,17.01,16.07,16.719999,33986100,16.719999
2015-10-21,16.49,16.93,15.93,16.43,48737400,16.43
2015-10-20,18.90,19.049999,16.610001,17.09,67592500,17.09
2015-10-19,18.370001,19.219999,18.32,19.16,27543300,19.16
2015-10-16,18.74,18.83,18.23,18.50,15540400,18.50
2015-10-15,18.870001,19.15,18.50,18.66,20397700,18.66
2015-10-14,18.77,19.299999,18.52,18.82,34627900,18.82
2015-10-13,17.809999,18.559999,17.74,18.18,21778500,18.18
2015-10-12,18.540001,18.629999,17.719999,18.030001,22494700,18.030001
2015-10-09,18.629999,18.85,17.90,18.16,23392500,18.16
2015-10-08,18.59,19.10,18.450001,18.719999,33619600,18.719999
2015-10-07,18.389999,18.92,18.219999,18.620001,41913500,18.620001
2015-10-06,17.629999,18.299999,17.34,18.219999,52110000,18.219999
2015-10-05,16.32,17.84,16.200001,17.57,63718700,17.57
2015-10-02,15.22,15.95,15.15,15.91,49688200,15.91
2015-10-01,14.99,15.04,14.50,14.77,37460500,14.77
2015-09-30,14.73,15.33,14.70,14.98,28066300,14.98
2015-09-29,14.26,14.69,14.15,14.38,25529200,14.38
2015-09-28,14.67,14.73,13.92,14.06,30448600,14.06
2015-09-25,15.34,15.59,14.65,14.91,28917300,14.91
2015-09-24,14.80,15.52,14.60,15.34,32800800,15.34
2015-09-23,15.43,15.43,14.80,14.81,22567900,14.81
2015-09-22,15.35,15.82,15.17,15.41,22763900,15.41
2015-09-21,15.62,15.98,15.46,15.75,19024500,15.75
2015-09-18,16.08,16.190001,15.36,15.50,36698200,15.50
2015-09-17,16.68,16.809999,16.309999,16.41,22827600,16.41
2015-09-16,16.459999,16.700001,16.309999,16.68,22363200,16.68
2015-09-15,16.860001,16.860001,16.459999,16.52,21319400,16.52
2015-09-14,16.90,16.92,16.360001,16.700001,15178700,16.700001
2015-09-11,17.02,17.17,16.709999,16.799999,22107600,16.799999
2015-09-10,16.809999,17.42,16.709999,17.200001,20814300,17.200001
2015-09-09,17.90,17.969999,16.84,16.959999,32951100,16.959999
2015-09-08,17.549999,17.75,17.049999,17.530001,26817000,17.530001
2015-09-04,16.299999,17.299999,16.26,16.82,32420800,16.82
2015-09-03,16.389999,17.209999,16.26,16.59,26377200,16.59
2015-09-02,16.09,16.309999,15.74,16.290001,23478500,16.290001
2015-09-01,15.80,16.209999,15.68,15.82,27914200,15.82
2015-08-31,15.91,16.68,15.46,16.41,32916900,16.41
2015-08-28,16.25,16.540001,15.61,15.96,34099400,15.96
2015-08-27,14.63,15.93,14.63,15.67,42971800,15.67
2015-08-26,14.61,14.75,14.11,14.42,43819700,14.42
2015-08-25,15.18,15.34,14.26,14.27,38655100,14.27
2015-08-24,13.81,14.44,13.50,14.44,54532000,14.44
2015-08-21,14.39,15.25,14.24,14.53,43715800,14.53
2015-08-20,15.35,15.37,14.66,14.74,54864200,14.74
2015-08-19,16.24,16.35,15.88,15.90,36874000,15.90
2015-08-18,17.00,17.00,16.27,16.379999,32424300,16.379999
2015-08-17,16.469999,17.26,16.120001,17.219999,33001000,17.219999
2015-08-14,17.76,17.99,16.82,16.950001,37248200,16.950001
2015-08-13,18.23,18.379999,17.67,17.700001,15468600,17.700001
2015-08-12,17.65,18.33,17.52,18.190001,20428400,18.190001
2015-08-11,18.629999,18.629999,17.68,17.879999,22959200,17.879999
2015-08-10,18.58,18.959999,18.32,18.82,25232400,18.82
2015-08-07,18.450001,18.530001,18.00,18.440001,23718300,18.440001
2015-08-06,18.93,18.959999,18.450001,18.719999,29928600,18.719999
2015-08-05,19.18,19.469999,18.879999,18.91,23370800,18.91
2015-08-04,19.17,19.190001,18.60,19.01,19934500,19.01
2015-08-03,18.610001,19.389999,18.59,19.00,32958300,19.00
2015-07-31,20.02,20.030001,18.469999,18.51,55074900,18.51
2015-07-30,19.75,20.10,19.459999,19.90,31248700,19.90
2015-07-29,19.98,20.57,19.67,19.870001,41557900,19.870001
2015-07-28,18.35,20.08,18.200001,19.75,51809500,19.75
2015-07-27,18.10,18.67,17.57,18.120001,27584100,18.120001
2015-07-24,18.60,18.700001,18.07,18.34,21567400,18.34
2015-07-23,18.33,18.93,18.299999,18.700001,32805200,18.700001
2015-07-22,18.530001,18.629999,17.85,18.00,43635100,18.00
2015-07-21,18.84,19.110001,18.51,18.879999,29340300,18.879999
2015-07-20,20.08,20.08,18.77,18.889999,41989300,18.889999
2015-07-17,19.530001,20.24,19.370001,20.120001,34081300,20.120001
2015-07-16,19.25,19.74,19.09,19.610001,34717200,19.610001
2015-07-15,19.49,19.65,18.77,18.889999,41983200,18.889999
2015-07-14,19.76,19.84,19.00,19.610001,103878600,19.610001
2015-07-13,17.83,17.85,17.389999,17.610001,35788100,17.610001
2015-07-10,17.33,17.65,17.299999,17.57,24282900,17.57
